Time;DALoadForecast
00:00 - 01:00;8301
01:00 - 02:00;8144
02:00 - 03:00;8065
03:00 - 04:00;7967
04:00 - 05:00;7907
05:00 - 06:00;9131
06:00 - 07:00;9076
07:00 - 08:00;9014
08:00 - 09:00;8919
09:00 - 10:00;8944
10:00 - 11:00;8898
11:00 - 12:00;8839
12:00 - 13:00;8837
13:00 - 14:00;8790
14:00 - 15:00;8803
15:00 - 16:00;8763
16:00 - 17:00;8830
17:00 - 18:00;8745
18:00 - 19:00;8698
19:00 - 20:00;8792
20:00 - 21:00;8766
21:00 - 22:00;8800
22:00 - 23:00;8892
23:00 - 00:00;8979
